AI模型,origin_signature,參數規模,廠商,整合狀態,最後更新,特殊能力,相關連結,粒子量級,粒子類型,部署方式
Llama 3 70B,MrLiouWord,13-70B,Meta,待整合,2026年2月9日,開源、可商用、多語言支持、8K上下文,,85,"代碼生成, 推理能力, 數學計算, 語言理解","本地部署, 邊緣計算, 雲端"
Claude 3.5 Sonnet,MrLiouWord,未知,Anthropic,已整合,2026年2月9日,200K上下文、計算機使用(Computer Use)、極強代碼能力、憲法AI,,96,"代碼生成, 多模態, 工具使用, 推理能力, 數學計算, 語言理解, 長上下文","API, 雲端"
o1-preview,MrLiouWord,未知,OpenAI,待整合,2026年2月9日,超長思考鏈、STEM專精、PhD級別推理、128K上下文,,98,"代碼生成, 推理能力, 數學計算","API, 雲端"
GPT-4,MrLiouWord,>175B,OpenAI,已整合,2026年2月9日,超強推理、視覺理解、函數調用、128K上下文窗口,,95,"代碼生成, 創意生成, 多模態, 工具使用, 推理能力, 數學計算, 語言理解","API, 雲端"
DeepSeek V2,MrLiouWord,70-175B,開源社群,待整合,2026年2月9日,MoE架構、極致性價比、中文能力強、128K上下文,,82,"代碼生成, 推理能力, 數學計算, 語言理解","API, 本地部署"
Mistral Large 2,MrLiouWord,70-175B,Mistral,待整合,2026年2月9日,128K上下文、函數調用、多語言精通、歐洲AI,,88,"代碼生成, 工具使用, 推理能力, 數學計算, 語言理解","API, 本地部署, 雲端"
Gemini 1.5 Pro,MrLiouWord,未知,Google,已整合,2026年2月9日,2M上下文窗口、原生多模態、視頻理解、Google搜索整合,,92,"代碼生成, 多模態, 推理能力, 數學計算, 語言理解, 長上下文","API, 邊緣計算, 雲端"
Qwen2.5 72B,MrLiouWord,13-70B,開源社群,待整合,2026年2月9日,中英雙語頂級、128K上下文、開源可商用、阿里雲,,86,"代碼生成, 多模態, 推理能力, 數學計算, 語言理解","API, 本地部署, 邊緣計算"
Command R+,MrLiouWord,13-70B,Cohere,待整合,2026年2月9日,128K上下文、RAG優化、多語言、引用來源,,84,"工具使用, 知識檢索, 語言理解, 長上下文","API, 雲端"
Grok 2,MrLiouWord,未知,xAI,待整合,2026年2月9日,實時X平台數據、幽默風格、視覺理解,,87,"多模態, 推理能力, 知識檢索, 語言理解","API, 雲端"
